scenario,with_bev,runner_count,delivery_orders,config_dir,run_id,simulation_id,runner_id,revenue_per_round,orders_per_runner_hour,on_time_rate,delivery_cycle_time_p90,delivery_cycle_time_avg,failed_rate,second_runner_break_even_orders,queue_wait_avg,runner_utilization_driving_pct,runner_utilization_waiting_pct,distance_per_delivery_avg,total_revenue,total_orders,successful_orders,failed_orders,total_rounds,active_runner_hours
busy_weekend,False,2,20,busy_weekend_delivery_2r_20orders_no_bev_full,run_02,delivery_blocked_02,2_runners,23.333333333333332,1.4,0.7142857142857143,49.04083529713538,25.95106349956889,0.125,12.5,0.0,20.195580306609013,11.1159719999868,868.037970599374,350.0,16,14,2,15,10.0
busy_weekend,True,2,20,busy_weekend_delivery_2r_20orders_with_bev_full,run_01,delivery_blocked_01,2_runners,21.428571428571427,1.2,0.75,54.26594486405911,28.251798140849388,0.125,12.5,0.0,17.503256553771195,13.023792192728182,915.2030342202855,300.0,16,12,2,14,10.0
busy_weekend,True,2,20,busy_weekend_delivery_2r_20orders_with_bev_full,run_02,delivery_blocked_02,2_runners,23.333333333333332,1.4,0.7142857142857143,49.04083529713538,25.95106349956889,0.125,12.5,0.0,20.195580306609013,11.1159719999868,868.037970599374,350.0,16,14,2,15,10.0
busy_weekend,False,2,30,busy_weekend_delivery_2r_30orders_no_bev_block3,run_01,delivery_blocked_01,2_runners,17.105263157894736,1.3,0.6153846153846154,55.179117048668445,33.3271706132199,0.36363636363636365,12.5,0.0,26.388209483115975,17.95618503662924,1140.263922109144,325.0,22,13,8,19,10.0
busy_weekend,False,2,30,busy_weekend_delivery_2r_30orders_no_bev_block3,run_02,delivery_blocked_02,2_runners,23.333333333333332,1.4,0.8571428571428571,47.15946000131173,24.579302308656118,0.15789473684210525,12.5,0.0,21.56679675175652,17.484614697630512,978.3011868328582,350.0,19,14,3,15,10.0
busy_weekend,False,2,30,busy_weekend_delivery_2r_30orders_no_bev_block6,run_01,delivery_blocked_01,2_runners,21.05263157894737,1.6,0.6875,54.984958812515586,27.809454564327915,0.18181818181818182,12.5,0.0,16.866860567417078,14.975346376018003,790.0019795342827,400.0,22,16,4,19,10.0
busy_weekend,False,2,30,busy_weekend_delivery_2r_30orders_no_bev_block6,run_02,delivery_blocked_02,2_runners,25.0,1.5,0.8,45.12406565242316,22.75479149760338,0.10526315789473684,12.5,0.0,14.05303426240975,18.69282782273391,731.2142029408122,375.0,19,15,2,15,10.0
busy_weekend,False,2,30,busy_weekend_delivery_2r_30orders_no_bev_full,run_01,delivery_blocked_01,2_runners,14.473684210526315,1.1,0.6363636363636364,51.13914909118537,29.20874692852129,0.4090909090909091,12.5,0.0,17.81662562782537,15.802217286367876,906.463352096061,275.0,22,11,9,19,10.0
busy_weekend,False,2,30,busy_weekend_delivery_2r_30orders_no_bev_full,run_02,delivery_blocked_02,2_runners,25.0,1.6,0.6875,47.55841256165661,28.330681733339173,0.19047619047619047,12.5,0.0,26.041403040368742,16.19175225142131,984.9078070415763,400.0,21,16,4,16,10.0
busy_weekend,True,2,30,busy_weekend_delivery_2r_30orders_with_bev_full,run_01,delivery_blocked_01,2_runners,14.473684210526315,1.1,0.6363636363636364,51.13914909118537,29.20874692852129,0.4090909090909091,12.5,0.0,17.81662562782537,15.802217286367876,906.463352096061,275.0,22,11,9,19,10.0
busy_weekend,True,2,30,busy_weekend_delivery_2r_30orders_with_bev_full,run_02,delivery_blocked_02,2_runners,25.0,1.6,0.6875,47.55841256165661,28.330681733339173,0.19047619047619047,12.5,0.0,26.041403040368742,16.19175225142131,984.9078070415763,400.0,21,16,4,16,10.0
busy_weekend,False,2,40,busy_weekend_delivery_2r_40orders_no_bev_block3,run_01,delivery_blocked_01,2_runners,17.857142857142858,2.0,0.7,45.642315203670854,27.476212748929687,0.42857142857142855,12.5,0.0,31.73478495832725,28.697559444413706,887.9403751709327,500.0,35,20,15,28,10.0
busy_weekend,False,2,40,busy_weekend_delivery_2r_40orders_no_bev_block3,run_02,delivery_blocked_02,2_runners,21.428571428571427,2.4,0.375,51.49165151824661,34.645343077641606,0.3157894736842105,12.5,0.0,33.01852054054553,23.0055808961314,1004.4536271426307,600.0,38,24,12,28,10.0
busy_weekend,False,2,40,busy_weekend_delivery_2r_40orders_no_bev_block6,run_01,delivery_blocked_01,2_runners,19.642857142857142,2.2,0.8181818181818182,49.208520526936795,22.708072047358677,0.37142857142857144,12.5,0.0,27.22462654814234,26.4466024193182,624.79088491607,550.0,35,22,13,28,10.0
busy_weekend,False,2,40,busy_weekend_delivery_2r_40orders_no_bev_block6,run_02,delivery_blocked_02,2_runners,23.214285714285715,2.6,0.7307692307692307,45.52910181654902,25.937203516012648,0.2631578947368421,12.5,0.0,33.38572312914233,22.414174856471657,744.2753295645872,650.0,38,26,10,28,10.0
busy_weekend,False,2,40,busy_weekend_delivery_2r_40orders_no_bev_full,run_01,delivery_blocked_01,2_runners,13.392857142857142,1.5,0.4666666666666667,53.55992738499083,32.660209971713634,0.5714285714285714,12.5,0.0,35.52940731121063,22.236619183963256,701.6031312208321,375.0,35,15,20,28,10.0
busy_weekend,False,2,40,busy_weekend_delivery_2r_40orders_no_bev_full,run_02,delivery_blocked_02,2_runners,16.071428571428573,1.8,0.2222222222222222,56.51409926826809,41.719602861957256,0.5,12.5,0.0,32.705406399911375,21.317610366399965,1013.5178735182994,450.0,38,18,19,28,10.0
busy_weekend,True,2,40,busy_weekend_delivery_2r_40orders_with_bev_full,run_01,delivery_blocked_01,2_runners,13.392857142857142,1.5,0.4666666666666667,53.55992738499083,32.660209971713634,0.5714285714285714,12.5,0.0,35.52940731121063,22.236619183963256,701.6031312208321,375.0,35,15,20,28,10.0
busy_weekend,True,2,40,busy_weekend_delivery_2r_40orders_with_bev_full,run_02,delivery_blocked_02,2_runners,16.071428571428573,1.8,0.2222222222222222,56.51409926826809,41.719602861957256,0.5,12.5,0.0,32.705406399911375,21.317610366399965,1013.5178735182994,450.0,38,18,19,28,10.0
busy_weekend,False,3,20,busy_weekend_delivery_3r_20orders_no_bev_block3,run_01,delivery_blocked_01,3_runners,23.214285714285715,1.3,0.7692307692307693,49.87427983439714,28.640035956865606,0.0,12.5,0.0,19.141133112802986,10.743167325363325,1286.682372835297,325.0,14,13,0,14,10.0
busy_weekend,False,3,20,busy_weekend_delivery_3r_20orders_no_bev_block3,run_02,delivery_blocked_02,3_runners,23.333333333333332,1.4,0.7857142857142857,41.23888500786073,24.158864452523698,0.0,12.5,0.0,11.988035119801932,6.387606051314111,1031.6770515321298,350.0,16,14,0,15,10.0
busy_weekend,False,3,20,busy_weekend_delivery_3r_20orders_no_bev_block6,run_01,delivery_blocked_01,3_runners,23.214285714285715,1.3,0.8461538461538461,38.65256135633853,21.891053835644133,0.0,12.5,0.0,15.789812178228749,13.86701481850436,812.9468617607698,325.0,14,13,0,14,10.0
busy_weekend,False,3,20,busy_weekend_delivery_3r_20orders_no_bev_block6,run_02,delivery_blocked_02,3_runners,23.333333333333332,1.4,0.8571428571428571,33.9961178349472,20.446419438381458,0.0,12.5,0.0,12.389130980213507,10.968757078935212,688.4791014389015,350.0,16,14,0,15,10.0
busy_weekend,False,3,20,busy_weekend_delivery_3r_20orders_no_bev_full,run_01,delivery_blocked_01,3_runners,25.0,1.4,0.6428571428571429,40.915455506427286,25.155294594762754,0.0,12.5,0.0,14.269580326685743,11.962570752534763,965.5750520116538,350.0,16,14,0,14,10.0
busy_weekend,False,3,20,busy_weekend_delivery_3r_20orders_no_bev_full,run_02,delivery_blocked_02,3_runners,26.666666666666668,1.6,0.75,47.79497600768252,25.072358120955165,0.0,12.5,0.0,16.87561291624923,11.291186094486138,885.6914985969413,400.0,16,16,0,15,10.0
busy_weekend,True,3,20,busy_weekend_delivery_3r_20orders_with_bev_full,run_01,delivery_blocked_01,3_runners,25.0,1.4,0.6428571428571429,40.915455506427286,25.155294594762754,0.0,12.5,0.0,14.269580326685743,11.962570752534763,965.5750520116538,350.0,16,14,0,14,10.0
busy_weekend,True,3,20,busy_weekend_delivery_3r_20orders_with_bev_full,run_02,delivery_blocked_02,3_runners,26.666666666666668,1.6,0.75,47.79497600768252,25.072358120955165,0.0,12.5,0.0,16.87561291624923,11.291186094486138,885.6914985969413,400.0,16,16,0,15,10.0
busy_weekend,False,3,30,busy_weekend_delivery_3r_30orders_no_bev_block3,run_01,delivery_blocked_01,3_runners,22.36842105263158,1.7,0.8235294117647058,44.0684977060423,25.823519097257837,0.18181818181818182,12.5,0.0,18.20296898876909,18.52255722235439,1080.4113359623643,425.0,22,17,4,19,10.0
busy_weekend,False,3,30,busy_weekend_delivery_3r_30orders_no_bev_block3,run_02,delivery_blocked_02,3_runners,28.333333333333332,1.7,0.7647058823529411,50.96055123158324,25.9306856904223,0.0,12.5,0.0,16.265383108123686,16.642481720969133,969.3162845816689,425.0,19,17,0,15,10.0
busy_weekend,False,3,30,busy_weekend_delivery_3r_30orders_no_bev_block6,run_01,delivery_blocked_01,3_runners,26.31578947368421,2.0,0.65,54.16006880609795,28.333084845723064,0.0,12.5,0.0,15.527857081874904,10.538559058086483,769.0534392858685,500.0,22,20,0,19,10.0
busy_weekend,False,3,30,busy_weekend_delivery_3r_30orders_no_bev_block6,run_02,delivery_blocked_02,3_runners,28.333333333333332,1.7,0.8235294117647058,42.041683846850866,22.595577318331582,0.0,12.5,0.0,12.401623619776911,17.01817597457161,714.4055757632491,425.0,19,17,0,15,10.0
